Dato:,Serienummer:,Test,Step,Type of error,Type of error,Fejlbeskrivelse og komentarer,L?sning
01-02-24,91929800,Basic,Visuel inspektion,,,"Crimpfejl pÜ ID chip kabelstik pÜ V2, V3 og V4 (6 sikben)",Ledning i stik rettet
01-02-24,91929800,Basic,Register ID Chip,ID chip,,Stikben til sort ledning pÜ ID chip i M1 kabel var udvidet (dÜrlig forbindelse),Ledning i stik rettet
02-02-24,91929891,GPT,Verify GPT,FPSignalWater,,Vërdi er for lav. Conduc. opf?rer sig ogsÜ underligt. Driver PCB skiftet og cuvette skiftet.,Fejler
05-02-24,91930086,Basic,Visuel inspektion,,,Crimpfejl pÜ ID chip kabelstik pÜ V4 (2 stikben),Ledning i stik rettet
05-02-24,91930086,Basic,Pipette Test,adjustment wrong,,Pipette l?fter sig ikke. Magnet position justeret med s?gerblad: OK,Justeret
05-02-24,91929904,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 258,4906 vs. Limit high 257,14 (nyt cond. modul s/n 0690)",Skiftet Conductivity modul. Fejler
05-02-24,91929904,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 257,4797 vs. Limit high 257,14 (nyt cond. modul s/n 0689)",Skiftet Conductivity modul. Fejler
06-02-24,91929904,M. Conductivity,Verify Cond.,,,"K?rt 3 x clean, skiftet Clean og Zero, k?rt 1 x clean, test igen: Meas 256,9904 OK",Testet igen
06-02-24,91929945,Basic,Visuel inspektion,,,Crimpfejl pÜ ID chip kabelstik pÜ V1 og V2 (4 stikben),Ledning i stik rettet
07-02-24,91929968,Basic,Visuel inspektion,,,Crimpfejl pÜ ID chip kabelstik pÜ V1 og V4 (4 stikben),Ledning i stik rettet
07-02-24,91930107,Basic,Pipette Test,adjustment wrong,,"Pipette l?fter sig ikke. Magnet position justeret med s?gerblad 0,5 mm: OK",Justeret
07-02-24,91929968,Basic,Pipette Test,adjustment wrong,,"Pipette l?fter sig ikke. Magnet position justeret med s?gerblad 0,5 mm: OK",Justeret
07-02-24,91930107,GPT,Verify GPT,WaterDiff,,"Fejler WaterDiff. Meas 0,00317 vs. Limith high 0,003.",
07-02-24,91930107,GPT,Verify GPT,WaterDiff,,"Skiftet Zero + om-test. Meas 0,00043 vs. Limit high 0,003",Testet igen
07-02-24,91930001,Basic,Pipette Test,adjustment wrong,,"Pipette l?fter sig ikke. Magnet position justeret med s?gerblad 0,5 mm: OK",Justeret
07-02-24,91929945,Basic,Pipette Test,adjustment wrong,,Pipette l?fter sig alt for lidt. Justeret.,Justeret
08-02-24,91930280,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 257,8478 vs. Limit high 257,14 Modul s/n 0691",
09-02-24,,M. Conductivity,,,,"-  modul s/n 0691 flyttet uëndret til FT3 S/N 91930277, meas 256,2257: OK",
09-02-24,91930280,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 259,9173 vs. Limit high 257,14 Modul s/n 0692",Skiftet Conductivity modul. Fejler
09-02-24,91929945,STD,Verify GPT,Oil Rep,,"LPOilRep meas 0,00108 vs. Limit high 0,001. Testet igen, OK: meas 0,00014",Testet igen
12-02-24,91930237,GPT,Verify GPT,Fat+Lactose+SNF,,"Skiftet BPV og Cuvette ,Testet 2 gang GPT",
12-02-24,91930280,M. Conductivity,Verify Cond.,,,"Renoveret cond. modul s/n 0690, bestÜet: Meas 256,33",Skiftet Conductivity modul
13-02-24,91930422,GPT,Measure GPT,Protein+SNF,,Testet igen,L?sning
13-02-24,91930186,Basic,Pipette Test,adjustment wrong,,"Pipette l?fter sig ikke. Magnet position justeret med s?gerblad 0,5 mm: OK",Justeret
13-02-24,91929945,M. Conductivity,Measure Cond.,Error component,,"""Clean solution is either incorrect or too cold"" - Slange pÜ M1:E var knëkket.",Slange ?delagt
14-02-24,91929891,GPT,Verify GPT,FPSignalWater,,"FatRep_milk, Meas 0,01093 vs. Limit H 0,009 og FPSignalWater: <LimitLow ",Skiftet cuvette. Fejler igen
14-02-24,91929891,GPT,Verify GPT,FPSignalWater,,IR source midterskrue ikke spëndt i bund.,
14-02-24,91930458,Basic,Pipette Test,adjustment wrong,,"Pipette l?fter sig ikke. Magnet position justeret med s?gerblad 0,5 mm: OK",Justeret
14-02-24,91930458,Basic,Touch Screen Test,,,Fejl i venstre side af display - lyse omrÜder,
15-02-24,91929891,GPT,Verify GPT,FPSignalWater,,Cuvette skiftet + source skrue spëndt i gÜr. Meas 3791755 < LimitLow 4200000,Skiftet cuvette. Fejler igen
15-02-24,91930458,5 Mëlk,Verify 5mëlk,Trans,Fat,"FatTrans Meas 0,02403 > Limit high 0,024. Omtest Meas 0,01573: OK",Testet igen
16-02-24,91930367,GPT,Verify GPT,Lactose,,Testet igen,Testet igen
16-02-24,91930495,Basic,Visuel inspektion,,,"Orange lys ved JP13, JP14, JP15 og JP18. èrsag: udviddet stikben i JP15 kabelstik",Ledning i stik rettet
16-02-24,91930367,STD,Measure 5 mëlk,Fat,Trans,Testet igen,Testet igen
19-02-24,91930571,M. Conductivity,Measure Cond.,,,Zero: Too low conductivity of Clean. Clean skift hjalp ikke. Nyt Cond. modul: OK,Skiftet Conductivity modul
21-02-24,91852320,5 Mëlk,Measure 5mëlk - Current week,,,Zero setting: Instrumentet meldte fejl pÜ Zero vësken (var ny). Bl. ny zero: OK,
22-02-24,91930672,M. Conductivity,Measure Cond.,,,Zero: Too low conductivity of Clean. Nyt Cond.modul ,L?sning
23-02-24,91930711,Basic,Pipette Test,adjustment wrong,,"Pipette l?fter sig ikke. Magnet position justeret med s?gerblad 0,5 mm: OK",Justeret
23-02-24,91930711,Basic,Switches and sensors,,,IFU transport lock: State indicator virker ikke.  Topm?trik mangler.,
23-02-24,91930728,Basic,Initial ID chip,ID chip,,"Motor 1 ID chip kan ikke lëses, heller ikke l?s M1 pumpe tilsluttet JP14. PCB fejl",
26-02-24,91930728,Basic,Initial ID chip,ID chip,,Motor 1 ID chip kan ikke lëses. Skiftet Driver PCB og genindlëst SW etc.: OK,Skiftet driver PCB
26-02-24,91930711,Basic,Switches and sensors,,,Manglende topm?trik monteret pÜ IFU transport lock: State indicator OK,Rettet IFU lÜs
26-02-24,91930711,Basic,Switches and sensors,,,IFU montage skrue var ikke skruet helt i: Fejl i presm?trik. Ny presm?trik (SNA),L?sning
27-02-24,91930778,GPT,Measure GPT,Error component,,"""No sample under pipette"" Der mÜles om der er sample til stede i gennem tryksensoren pÜ M1, V1 og V4. I dette tilfëlde var V4 defekt.",M1 pumpe skiftet
28-02-24,91930995,Basic,Switches and sensors,human error,,LÜge sensor virkede ikke. Kabelstik i JP20 og JP21 var byttet om.,Kabler byttet
29-02-24,91931011,GPT,,human error,,Detektor sad skëvt. Blev f?rst opdaget efter bestÜet GPT. GPT gentaget.,Testet igen
04-03-24,91931161,Basic,Pipette Test,,,Ingen dëmpning af pip. bevëgelse. Tandhjul i h?jre side ikke spëndt. Just. + moment-spëndt (NRAS),Justeret
06-03-24,91931282,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 269,4725 vs. Limit high 260. Modul s/n 0708",
06-03-24,91931282,M. Conductivity,Verify Cond.,,,"Nyt Cond. modul mont. S/N 0712. Sample Cond. Meas 257,1825",Skiftet Conductivity modul
06-03-24,91931433,GPT,Verify GPT,Fat+Protein+Lactose+TS+SNF,,,Testet igen
07-03-24,91931423,Basic,Pipette Test,adjustment wrong,,"Pipette l?fter sig ikke. Magnet position justeret med s?gerblad 0,5 mm: OK",Justeret
07-03-24,91931434,Basic,Pipette Test,adjustment wrong,,Pipette l?fter sig ikke nok. Justeret.,Justeret
07-03-24,91931421,Basic,Flow System Check,,,Transport-lÜsen er aktiveret. NUT top var ikke strammet.,Justeret
07-03-24,91931421,GPT,Verify GPT,WaterDiff,,Skiftet Zero.,Testet igen
11-03-24,91931448,Basic,Pipette Test,adjustment wrong,,Pip. l?fter sig ikke: Justeret med 0.5 mm s. blad. Pip. l?fter sig for lidt.: justeret.,Justeret
11-03-24,91931448,Basic,Flow System Check,,,Diagnostic c.: to restriktioner. knëk pÜ slange mellem CUV og Pre-heater. Skiftet.,Fejler
11-03-24,91931448,Basic,Flow System Check,,,"Tjekket gennemgang i CUV, Pre-heater, Slanger, V2 mm. Testet igen: Çn restriktion",Fejler
11-03-24,91931448,Basic,Flow System Check,,,Kabel til M3/JP13: Ledning pin 5 ikke klikket i stikhus. Rettet. Testet igen: fejler stadig,Fejler
11-03-24,91931141,Basic,Visuel inspektion,,,Mains power stik vender omvendt (jordben ?verst). Stik skruet ud og vendt.,L?sning
11-03-24,91931709,Basic,Pipette Test,adjustment wrong,,Pipette l?ster sig ikke: Magnet justeret. Pipette l?fter sig ikke nok: Justeret.,Justeret
12-03-24,91931448,Basic,Flow System Check,,,"Restriction in flow M1, M2, cuvette, BPV. Der sad en WSC cuvette i, istedet for en MSC.",Skiftet cuvette
13-03-24,91931480,STD,Calculate STD,,,Ventilen er ikke samlet korrekt.,Justeret
14-03-24,91931736,Basic,Flow System Check,,,Restriction/leak in zero string.,Skiftet pipette
15-03-24,91931840,Prepare,Power up Instrument,connection problem,,Ingen kommunikation/intet lys i Ethernet LED'er. Skiftet NAT ZYNQ pcb: OK,Skiftet Zynq PCB
18-03-24,91931825,M. Conductivity,Measure Cond.,connection problem,,NOVA forbinder ikke til instrument. Genstart af test og af NOVA hjalp ikke. Instrument off og on og test genstartet: OK,Genstart af instrument
18-03-24,91931791,GPT,Verify GPT,Cream_Rep,,,Testet igen
18-03-24,91931791,GPT,Verify GPT,ASM,,,Testet igen
18-03-24,91931448,5 Mëlk,Verify 5mëlk,Trans,Protein+SNF,"B2024-10 ProtTrans 0,01957 vs. LimH 0,018 og SNFTrans 0,04616 vs. LimH 0,043",Fejler
18-03-24,91931448,5 Mëlk,Verify 5mëlk,Trans,SNF,"B2024-11 SNFTrans 0,04398  vs. LimH 0,043",Fejler
19-03-24,91931898,Prepare,Power up Instrument,connection problem,SNF,Ingen kommunikation/intet lys i D5 pÜ ZYNQ pcb. Skiftet NAT ZYNQ pcb: OK,Skiftet Zynq PCB
20-03-24,91931866,GPT,Verify GPT,Cream_Rep,,,Testet igen
20-03-24,91931448,5 Mëlk,Verify 5mëlk,Trans,SNF,Linse og detektor skiftet (19-03-2024 ANGR). Testet igen B2024-11: OK,Skiftet linse og detektor.
20-03-24,91931627,M. Conductivity,Verify Cond.,,SNF,"Fejler SampleCond: Meas 261,0929 vs. Limit high 260. Modul s/n 0711",Fejler
20-03-24,91931627,M. Conductivity,Verify Cond.,,,"Nyt Cond modul mont. s/n 0687. Test gentaget. Meas 255,8756: OK",Skiftet Conductivity modul
20-03-24,91931898,Basic,Pipette Test,adjustment wrong,,Pipette l?ster sig ikke: Magnet pos. justeret. Pipette for langt inde: Stop justeret.,Justeret
21-03-24,91931898,Basic,Flow System Check,,,Mislyd ved k?rsel af Pumpe 1: Motoraksel skëv. Motor skiftet (ANGR): OK,L?sning
21-03-24,91931898,5 Mëlk,Verify 5mëlk,Trans,Fat,"B2024-11 FatTrans Meas 0,02621  LimH 0,024. Naboinstrumentet bestod flot.",Fejler
21-03-24,91931898,5 Mëlk,Verify 5mëlk,Trans,Fat,"Testet igen, samme batch B2024-11 FatTrans Meas 0,02308  LimH 0,024. OK",Testet igen
22-03-24,91932025,Basic,Visuel inspektion,,,Detektor cover l?st. 4 ud af 5 skruer var ikke spëndt. Momentspëndt skruer.,L?sning
22-03-24,91932025,Basic,Pipette Test,adjustment wrong,,Pipette for langt ude (i l?ftet position). Justeret.,Justeret
22-03-24,91932025,Basic,Flow System Check,adjustment wrong,,Pumpe 2 var ikke skubbet helt pÜ plads i sit rustfri hus. Justeret. lyder bedre!,Justeret
26-03-24,91932261,Basic,Initial ID chip,ID chip,,Kunne ikke se PSU Fan,Skiftet driver PCB
26-03-24,91932261,Basic,Initial ID chip,ID chip,,Kunne ikke se PSU Fan Kontrol PCB skiftet,Skiftet driver PCB
26-03-24,91932261,STD,Verify STD,GlycCorr,,"MÜlt 0,99995 (lav 0,99996 h?j 1).",Testet igen
27-03-24,91932261,STD,Verify STD,GlycCorr,,"MÜlt 0,99995 (lav 0,99996 h?j 1). Virkede efter anden gang.",L?sning
09-04-24,91932604,GPT,Verify GPT,human error,,Fik k?rt en fl?de som mëlk :-),Testet igen
09-04-24,91932604,GPT,Verify GPT,human error,,Fik k?rt en fl?de som mëlk. gentest virkede :-),L?sning
09-04-24,91932379,5 Mëlk,Verify 5mëlk,,,"5-mëlk B2024-14 var valgt, men Verify viser B2024-12. Genstart af test og genberegning hjalp ikke",Fejler
10-04-24,91930482,,,adjustment wrong,,Pipette var for langt inde fra kant i l?ftet position. Justeret.,Justeret
11-04-24,91932379,5 Mëlk,Verify 5mëlk,,,Efter to dage blev genberegning fors?gt igen og B2024-14 blev korrekt vist. OK,
11-04-24,91935650,Basic,Initial ID chip,ID chip,,Fejl pÜ kontroll pcb,Skiftet driver PCB
12-04-24,91932819,5 Mëlk,Verify 5mëlk,Trans,Fat,FAT Trans for h?j,Testet igen
12-04-24,91932869,5 Mëlk,Verify 5mëlk,Trans,Fat,FAT Trans for h?j,Testet igen
12-04-24,91932819,5 Mëlk,Verify 5mëlk,Trans,Fat,FAT Trans for h?j,L?sning
12-04-24,91932869,5 Mëlk,Verify 5mëlk,Trans,Fat,FAT Trans for h?j,L?sning
16-04-24,91933050,Prepare,Firmware,,SNF,Display skifter mellem farver og testm?nstre. 3 x geninstallation af SW hjalp ikke,Fejler
16-04-24,91932850,Basic,Initial ID chip,ID chip,Fat+SNF,ID chip V5 og V7 lëses ikke pga. crimp fejl. Nye stikben mont.: OK,Ledning i stik rettet
16-04-24,91932850,Basic,Initial ID chip,ID chip,Fat+SNF,Pip. motor ID chip lëses ikke. Pip. kabel var ikke sat i JP 25. Rettet + FT3 genstart: OK,Ledning ikke i stik
16-04-24,91932912,Basic,Verify Cond. connection,,Fat,Fladkabel til Cond. modul vendt forkert. Kan monteres omvendt. Testet OK.,l?sning
17-04-24,91932912,Basic,Initial ID chip,,Fat,"ID chip V6, V7 og V8 lëses ikke pga. crimp fejl. Nye stikben mont.: OK",Ledning i stik rettet
17-04-24,91933050,Prepare,Firmware,,Fat,Control PCB skiftet. Display virker nu normalt (se d. 16-04-2024).,Skiftet CTR print
18-04-24,91932985,Basic,Visuel inspektion,,Fat,"V8: r?d led off, ID chip uden forbindelse pga. crimp fejl. Mont nye stikben: OK",Ledning i stik rettet
18-04-24,91933050,Basic,,,Fat,V9: ID chip afbr?d i stik i.f.m. mont. af dëkplade pga crimpfejl. Nye stikben: OK,Ledning i stik rettet
18-04-24,91932985,Basic,Flow System Check,,Fat,"Instrumentet er ikke registreret i Local Configurator, configuration kan ikke loades",Fejler
18-04-24,91932850,STD,Measure STD,connection problem,Fat,Instrument vil ikke connecte til NOVA trods fin connction til FossServiceScan,Fejler
18-04-24,91932850,STD,Measure STD,connection problem,fat,Skiftet NAT Zynq PCB: Instrument connecter nu normalt til NOVA. OK,L?sning
19-04-24,91932985,Basic,Flow System Check,,Fat,Skiftet Control PCB og beholdt NAT Zynq PCB - Local Configurator virker nu OK,L?sning
19-04-24,91932912,STD,Verify STD,GlycCorr,Fat,"OffsetStdCorr Meas 0,04613 vs. 0,04 og GlycCorr Meas 0,99996 vs. 0,99996",Fejler
19-04-24,91932912,STD,Verify STD,GlycCorr,,"Skiftet Clean og Zero og gentaget test: OffsetStdCorr Meas 0,04572 vs. 0,04",Fejler
22-04-24,91932985,5 Mëlk,Verify 5mëlk,Trans,SNF,"SNFTrans Meas 0,04498 B2024-15",Fejler
22-04-24,91933050,5 Mëlk,Verify 5mëlk,Trans,Fat+SNF,"FatTrans Meas 0,04271, SNF Meas 0,04921 B2024-15",Fejler
22-04-24,91932850,5 Mëlk,Verify 5mëlk,Trans,Fat+SNF,"FatTrans Meas 0,03975, SNF Meas 0,06812 B2024-15",Fejler
23-04-24,91932985,5 Mëlk,Verify 5mëlk,Trans,Fat,"FatTrans Meas 0,026826 B2024-16",Fejler
24-04-24,91932912,STD,Verify STD,,Fat,"Skiftet linse. OffsetStdCorr Meas 0,040662 vs. 0,04",Fejler
24-04-24,91932912,STD,Verify STD,,Fat,"Skiftet cuvette og detector. OffsetStdCorr Meas 0,013475 vs. 0,04: OK",L?sning
25-04-24,91933567,GPT,Verify GPT,WaterTemp,Fat,Pr?ver en gentest,Fejler
25-04-24,91933567,GPT,Verify GPT,WaterTemp,Fat,"Pre heater ligger pÜ 48 grader i FSS, og ikke 42. Varmelegeme defekt.",Skiftet preheater
26-04-24,91933200,Basic,Initial ID chip,,Fat,V10 valve inicial regist.ID chip,Ledning i stik rettet
26-04-24,91933567,5 Mëlk,Verify 5mëlk,Trans,Fat,"FatTrans 0,04175 B2024-16 Gentaget test eft. Cuv. + detector tjek B2024-17: OK",Testet igen pÜ et andet mëlkesët
26-04-24,91932985,5 Mëlk,Verify 5mëlk,Trans,fat,"Gentaget test B2024-16 FatTrans Meas 0,05178 vs 0,024",fejler
26-04-24,91932985,5 Mëlk,Verify 5mëlk,Trans,Fat,"Cu. + detector tjek, afst?vet, moment spëndt. Testet igen B2024-17: OK",Testet igen pÜ et andet mëlkesët
29-04-24,91932985,M. Conductivity,Measure Cond.,,Fat,For lav conductiviy under Zero setting. Skiftet Conductivity module: OK,Skiftet Conductivity modul
29-04-24,91933258,GPT,Measure GPT,,,"Zero pip. registrerer ikke Zero vësken. ""Motioneret"" stik i PCB connector: OK",l?sning
30-04-24,91933895,Basic,Initial ID chip,,ID chip,valve 1+2+3+4+9+10,Ledning i stik rettet
30-04-24,91933895,Basic,Flow System Check,,,"Ethernetkabel ikke monteret i ctrprint. Kunne ikke fÜ forbindelse til NOVA ""connecting""",Kabel ikke monteret
30-04-24,91933302,Basic,Flow System Check,,,Skiftet BPV,L?sning
30-04-24,91933334,GPT,Verify GPT,Protein,Cream_Rep,Vërdi for h?j,Fejler
30-04-24,91933302,GPT,Verify GPT,WaterTemp,,Vërdi for h?j,Fejler
30-04-24,91933302,GPT,Verify GPT,WaterTemp,,"Pre heater ligger pÜ 48 grader i FSS, og ikke 42. NTC temp. f?ler defekt.",Skiftet preheater
01-05-24,91933334,GPT,Verify GPT,Protein,Cream_Rep,Gentestet,L?sning
01-05-24,91933334,5 Mëlk,Verify 5mëlk,Trans,Fat,Vërdi for h?j,Fejler
01-05-24,91933334,5 Mëlk,Verify 5mëlk,Trans,Fat,Gentestet,Ledning i stik rettet
02-05-24,91933451,Basic,Initial ID chip,,Fat,Valve 4,Ledning i stik rettet
02-05-24,91933302,GPT,GPT,Verify GPT,fat,"Pre heater ligger pÜ 48 grader i FSS, og ikke 42. NTC temp. f?ler defekt.",Skiftet preheater
02-05-24,91933451,GPT,,,Fat,Slange ikke spëndt,Slanger ikke spëndt
02-05-24,91933451,GPT,,,Fat,PCB defekt,Skiftet Zynq PCB
02-05-24,91933302,5 Mëlk,Verify 5mëlk,Trans,Fat,Gentaget test B2024-17 ,L?sning
02-05-24,91933528,GPT,Verify GPT,WaterTemp,,"Pre heater ligger pÜ 48 grader i FSS, og ikke 42. NTC temp. f?ler defekt.",Skiftet preheater
06-05-24,91933305,5 Mëlk,Verify 5mëlk,Trans,Fat,fat trans for h?j,Testet igen
06-05-24,91933874,Prepare,Firmware,,,manglede forbindelse og control pcb skiftet.,L?sning
06-05-24,91933874,Basic,Flow System Check,,,"Kabel pÜ sample pipette ikke klikket i stikhus ,rattet.",Skiftet kabel
06-05-24,91933874,Basic,Initial ID chip,,ID chip,Id chip fejl pÜ sampl pipette .Nye stikben monteret.,L?sning
06-05-24,91933932,Prepare,Firmware,connection problem,connection problem,Kan ikke opdaterer firmwaren,Nyt topprint pÜ Leda
06-05-24,91933963,GPT,Measure GPT,,,"Fejl pÜ sampl pipette assy ,Skiftet.",L?sning
10-05-24,91933984,5 Mëlk,Verify 5mëlk,Trans,Fat,gentage test B2024-18,L?sning
10-05-24,91934123,Basic,Flow System Check,,,Leak ny filterstick,L?sning
10-05-24,91934123,Basic,Flow System Check,,,stik rettet valve 2,
10-05-24,91934123,GPT,Verify GPT,WaterTemp,,"Preheater ligger pÜ 50 grader, NTC temp. f?ler defekt.",Skiftet preheater
10-05-24,91934234,Basic,Initial ID chip,,ID chip,"Valve 9 Lëses ikke, ny stikben",L?sning
10-05-24,91934234,STD,Verify STD,GlycCorr,GlycCorr,,
10-05-24,91934234,STD,Verify STD,GlycSlope+GlycCorr,,Flow System M1 part A minor leak has been detected. Zero setting failed.,Skiftet cuvette
13-05-24,91934199,Basic,Flow System Check,,ID chip,Valve 3. Ny stikben 2 gang skiftet. Skiftet ventil 60086575,L?sning
13-05-24,91934234,U. Conductivity,Initial ID chip,ID chip,,Valve 10. Ny 2 stk stikben.,L?sning
13-05-24,91930366,GPT,Verify GPT,WaterDiff,,Skiftet Zero,Fejler
13-05-24,91930366,GPT,Verify GPT,Protein,Milk_Rep,skiftet detector,Fejler
14-05-24,91934199,GPT,Verify GPT,Protein,Milk_Rep,,Fejler
14-05-24,91934199,GPT,Verify GPT,Lactose,Cream_Rep,,Fejler
14-05-24,91934235,Basic,Fans Test,connection problem,,Centerfan virker ikke. Skift af centerfan,L?sning
14-05-24,91934235,Basic,Fans Test,connection problem,,Blëser kabel til IFU sad det forkerte sted,Ledning i stik rettet
14-05-24,91930366,GPT,Verify GPT,WaterDiff,WaterDrift,skiftet kuvette,Fejler
15-05-24,91934235,GPT,,,zerosettings,"kan ikke k?re zero setting, den stÜr bare og (klikker) og genstarter instrumentet driver modul not ready",Skiftet BPV
15-05-24,91934199,GPT,Verify GPT,Protein,Milk_Rep,Testet igen.,L?sning
15-05-24,91930366,GPT,Measure GPT,,,Detector varmer ikke. k?rt performance test pÜ leda+skiftet kabel pÜ detector,
15-05-24,91934199,5 Mëlk,Verify 5mëlk,Trans,Fat,"Fejl pÜ 5mëlk B2024-18,B2024-19",
15-05-24,91934235,GPT,Calculate GPT,WaterTemp,,Skiftet zero,L?sning
21-05-24,91933932,Prepare,Firmware,connection problem,,"Ingen forbindelse til UUT. CAN bus blev blokeret af fejl pÜ Driver PCB. Skiftet, OK.",Skiftet driver PCB
21-05-24,91933932,Basic,Visuel inspektion,ID chip,,Intet lys i LED for V3 og V5. Crimpfejl pÜ ID chips. Nye stikben monteret: OK,Ledning i stik rettet
21-05-24,91933932,GPT,Verify GPT,WaterDiff,WaterTemp,Fejlede GPT. Preheater temperaturer var for h?je (NTC f?ler fejl). ,L?sning
